RangeFrequency,Chuan WIFI,MCS,Power_MAX(dBm),Power_MIN(dBm),EVM_MAX,EVM_MIN,FreqError_MAX(Hz),FreqError_MIN(Hz),SymClock_MAX,SymClock_Min
5G,802.11nHT40,4,23,18.5,-19,-,10000,-10000,-,-
5G,802.11nHT40,5,20,15.5,-22,-,10000,-10000,-,-
5G,802.11nHT40,6,20,15.5,-25,-,10000,-10000,-,-
5G,802.11nHT40,7,20,15.5,-28,-,10000,-10000,-,-
5G,802.11acHT20,0,24,19.5,-5,-,10000,-10000,-,-
5G,802.11acHT20,1,24,19.5,-10,-,10000,-10000,-,-
5G,802.11acHT20,2,24,19.5,-13,-,10000,-10000,-,-
5G,802.11acHT20,3,23,18.5,-16,-,10000,-10000,-,-
5G,802.11acHT20,4,23,18.5,-19,-,10000,-10000,-,-
5G,802.11acHT20,5,19.5,15,-22,-,10000,-10000,-,-
5G,802.11acHT20,6,19.5,15,-25,-,10000,-10000,-,-
5G,802.11acHT20,7,19.5,15,-27,-,10000,-10000,-,-
5G,802.11acHT20,8,19,14.5,-30,-,10000,-10000,-,-
5G,802.11acHT20,9,20,15.5,-32,-,10000,-10000,-,-
5G,802.11acHT40,0,24,19.5,-5,-,10000,-10000,-,-
5G,802.11acHT40,1,24,19.5,-10,-,10000,-10000,-,-
5G,802.11acHT40,2,24,19.5,-13,-,10000,-10000,-,-
5G,802.11acHT40,3,23,18.5,-16,-,10000,-10000,-,-
5G,802.11acHT40,4,23,18.5,-19,-,10000,-10000,-,-
5G,802.11acHT40,5,19.5,15,-22,-,10000,-10000,-,-
5G,802.11acHT40,6,19.5,15,-25,-,10000,-10000,-,-
5G,802.11acHT40,7,19.5,15,-27,-,10000,-10000,-,-
5G,802.11acHT40,8,19,14.5,-30,-,10000,-10000,-,-
5G,802.11acHT40,9,19,14.5,-32,-,10000,-10000,-,-
5G,802.11acHT80,0,23.5,19,-5,-,10000,-10000,-,-
5G,802.11acHT80,1,23.5,19,-10,-,10000,-10000,-,-
5G,802.11acHT80,2,23.5,19,-13,-,10000,-10000,-,-
5G,802.11acHT80,3,22.5,18,-16,-,10000,-10000,-,-
5G,802.11acHT80,4,22.5,18,-19,-,10000,-10000,-,-
5G,802.11acHT80,5,19,14.5,-22,-,10000,-10000,-,-
5G,802.11acHT80,6,19,14.5,-25,-,10000,-10000,-,-
5G,802.11acHT80,7,19,14.5,-27,-,10000,-10000,-,-
5G,802.11acHT80,8,18.5,14,-30,-,10000,-10000,-,-
5G,802.11acHT80,9,19.5,14,-32,-,10000,-10000,-,-
5G,802.11acHT160,0,20.5,16,-5,-,10000,-10000,-,-
5G,802.11acHT160,1,20.5,16,-10,-,10000,-10000,-,-
5G,802.11acHT160,2,20.5,16,-13,-,10000,-10000,-,-
5G,802.11acHT160,3,20.5,16,-16,-,10000,-10000,-,-
5G,802.11acHT160,4,20.5,16,-19,-,10000,-10000,-,-
5G,802.11acHT160,5,20.5,16,-22,-,10000,-10000,-,-
5G,802.11acHT160,6,20.5,16,-25,-,10000,-10000,-,-
5G,802.11acHT160,7,20.5,16,-27,-,10000,-10000,-,-
5G,802.11acHT160,8,20.5,16,-30,-,10000,-10000,-,-
5G,802.11acHT160,9,20.5,16,-32,-,10000,-10000,-,-
